timestamp,product,process,wip,production,active_eqp,target_eqp,plan,produced_sum,total_changeovers
0,ProductA,Step_10,84.0,6.0,1.0,0.0,90.0,6.0,0
0,ProductA,Step_20,88.5,7.5,1.0,0.0,90.0,7.5,0
0,ProductA,Step_30,7.5,0.0,0.0,0.0,90.0,0.0,0
1,ProductA,Step_10,78.0,6.0,1.0,0.0,90.0,12.0,0
1,ProductA,Step_20,87.0,7.5,1.0,0.0,90.0,15.0,0
1,ProductA,Step_30,15.0,0.0,0.0,0.0,90.0,0.0,0
2,ProductA,Step_10,72.0,6.0,1.0,0.0,90.0,18.0,0
2,ProductA,Step_20,85.5,7.5,1.0,0.0,90.0,22.5,0
2,ProductA,Step_30,22.5,0.0,0.0,0.0,90.0,0.0,0
3,ProductA,Step_10,66.0,6.0,1.0,0.0,90.0,24.0,0
3,ProductA,Step_20,84.0,7.5,1.0,0.0,90.0,30.0,0
3,ProductA,Step_30,30.0,0.0,0.0,0.0,90.0,0.0,0
4,ProductA,Step_10,60.0,6.0,1.0,0.0,90.0,30.0,0
4,ProductA,Step_20,82.5,7.5,1.0,0.0,90.0,37.5,0
4,ProductA,Step_30,37.5,0.0,0.0,0.0,90.0,0.0,0
5,ProductA,Step_10,54.0,6.0,1.0,0.0,90.0,36.0,0
5,ProductA,Step_20,81.0,7.5,1.0,0.0,90.0,45.0,0
5,ProductA,Step_30,45.0,0.0,0.0,0.0,90.0,0.0,0
6,ProductA,Step_10,48.0,6.0,1.0,0.0,90.0,42.0,0
6,ProductA,Step_20,79.5,7.5,1.0,0.0,90.0,52.5,0
6,ProductA,Step_30,52.5,0.0,0.0,0.0,90.0,0.0,0
7,ProductA,Step_10,42.0,6.0,1.0,0.0,90.0,48.0,0
7,ProductA,Step_20,78.0,7.5,1.0,0.0,90.0,60.0,0
7,ProductA,Step_30,60.0,0.0,0.0,0.0,90.0,0.0,0
8,ProductA,Step_10,36.0,6.0,1.0,0.0,90.0,54.0,0
8,ProductA,Step_20,76.5,7.5,1.0,0.0,90.0,67.5,0
8,ProductA,Step_30,67.5,0.0,0.0,0.0,90.0,0.0,0
9,ProductA,Step_10,30.0,6.0,1.0,0.0,90.0,60.0,0
9,ProductA,Step_20,75.0,7.5,1.0,0.0,90.0,75.0,0
9,ProductA,Step_30,75.0,0.0,0.0,0.0,90.0,0.0,0
10,ProductA,Step_10,24.0,6.0,1.0,0.0,90.0,66.0,0
10,ProductA,Step_20,73.5,7.5,1.0,0.0,90.0,82.5,0
10,ProductA,Step_30,82.5,0.0,0.0,0.0,90.0,0.0,0
11,ProductA,Step_10,18.0,6.0,1.0,0.0,90.0,72.0,0
11,ProductA,Step_20,72.0,7.5,1.0,0.0,90.0,90.0,0
11,ProductA,Step_30,90.0,0.0,0.0,0.0,90.0,0.0,0
12,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
12,ProductA,Step_20,64.5,7.5,1.0,0.0,90.0,97.5,1
12,ProductA,Step_30,97.5,0.0,1.0,0.0,90.0,0.0,1
13,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
13,ProductA,Step_20,57.0,7.5,1.0,0.0,90.0,105.0,1
13,ProductA,Step_30,95.0,10.0,1.0,0.0,90.0,10.0,1
14,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
14,ProductA,Step_20,49.5,7.5,1.0,0.0,90.0,112.5,1
14,ProductA,Step_30,92.5,10.0,1.0,0.0,90.0,20.0,1
15,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
15,ProductA,Step_20,42.0,7.5,1.0,0.0,90.0,120.0,1
15,ProductA,Step_30,90.0,10.0,1.0,0.0,90.0,30.0,1
16,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
16,ProductA,Step_20,34.5,7.5,1.0,0.0,90.0,127.5,1
16,ProductA,Step_30,87.5,10.0,1.0,0.0,90.0,40.0,1
17,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
17,ProductA,Step_20,27.0,7.5,1.0,0.0,90.0,135.0,1
17,ProductA,Step_30,85.0,10.0,1.0,0.0,90.0,50.0,1
18,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
18,ProductA,Step_20,19.5,7.5,1.0,0.0,90.0,142.5,1
18,ProductA,Step_30,82.5,10.0,1.0,0.0,90.0,60.0,1
19,ProductA,Step_10,18.0,0.0,0.0,0.0,90.0,72.0,1
