timestamp,product,process,wip,production,active_eqp,target_eqp,plan,produced_sum,total_changeovers
0,ProductA,Step_10,108.0,12.0,2.0,0.0,120.0,12.0,0
0,ProductA,Step_20,124.5,7.5,1.0,0.0,120.0,7.5,0
0,ProductA,Step_30,7.5,0.0,0.0,0.0,120.0,0.0,0
1,ProductA,Step_10,96.0,12.0,2.0,0.0,120.0,24.0,0
1,ProductA,Step_20,129.0,7.5,1.0,0.0,120.0,15.0,0
1,ProductA,Step_30,15.0,0.0,0.0,0.0,120.0,0.0,0
2,ProductA,Step_10,84.0,12.0,2.0,0.0,120.0,36.0,0
2,ProductA,Step_20,133.5,7.5,1.0,0.0,120.0,22.5,0
2,ProductA,Step_30,22.5,0.0,0.0,0.0,120.0,0.0,0
3,ProductA,Step_10,72.0,12.0,2.0,0.0,120.0,48.0,0
3,ProductA,Step_20,138.0,7.5,1.0,0.0,120.0,30.0,0
3,ProductA,Step_30,30.0,0.0,0.0,0.0,120.0,0.0,0
4,ProductA,Step_10,60.0,12.0,2.0,0.0,120.0,60.0,0
4,ProductA,Step_20,142.5,7.5,1.0,0.0,120.0,37.5,0
4,ProductA,Step_30,37.5,0.0,0.0,0.0,120.0,0.0,0
5,ProductA,Step_10,48.0,12.0,2.0,0.0,120.0,72.0,0
5,ProductA,Step_20,147.0,7.5,1.0,0.0,120.0,45.0,0
5,ProductA,Step_30,45.0,0.0,0.0,0.0,120.0,0.0,0
6,ProductA,Step_10,36.0,12.0,2.0,0.0,120.0,84.0,0
6,ProductA,Step_20,151.5,7.5,1.0,0.0,120.0,52.5,0
6,ProductA,Step_30,52.5,0.0,0.0,0.0,120.0,0.0,0
7,ProductA,Step_10,24.0,12.0,2.0,0.0,120.0,96.0,0
7,ProductA,Step_20,156.0,7.5,1.0,0.0,120.0,60.0,0
7,ProductA,Step_30,60.0,0.0,0.0,0.0,120.0,0.0,0
8,ProductA,Step_10,12.0,12.0,2.0,0.0,120.0,108.0,0
8,ProductA,Step_20,160.5,7.5,1.0,0.0,120.0,67.5,0
8,ProductA,Step_30,67.5,0.0,0.0,0.0,120.0,0.0,0
9,ProductA,Step_10,6.0,6.0,1.0,0.0,120.0,114.0,1
9,ProductA,Step_20,159.0,7.5,2.0,0.0,120.0,75.0,1
9,ProductA,Step_30,75.0,0.0,0.0,0.0,120.0,0.0,1
10,ProductA,Step_10,0.0,6.0,1.0,0.0,120.0,120.0,1
10,ProductA,Step_20,150.0,15.0,2.0,0.0,120.0,90.0,1
10,ProductA,Step_30,90.0,0.0,0.0,0.0,120.0,0.0,1
11,ProductA,Step_10,0.0,0.0,1.0,0.0,120.0,120.0,1
11,ProductA,Step_20,135.0,15.0,2.0,0.0,120.0,105.0,1
11,ProductA,Step_30,105.0,0.0,0.0,0.0,120.0,0.0,1
12,ProductA,Step_10,0.0,0.0,1.0,0.0,120.0,120.0,1
12,ProductA,Step_20,120.0,15.0,2.0,0.0,120.0,120.0,1
12,ProductA,Step_30,120.0,0.0,0.0,0.0,120.0,0.0,1
13,ProductA,Step_10,0.0,0.0,1.0,0.0,120.0,120.0,1
13,ProductA,Step_20,105.0,15.0,2.0,0.0,120.0,135.0,1
13,ProductA,Step_30,135.0,0.0,0.0,0.0,120.0,0.0,1
14,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,2
14,ProductA,Step_20,90.0,15.0,2.0,0.0,120.0,150.0,2
14,ProductA,Step_30,150.0,0.0,1.0,0.0,120.0,0.0,2
15,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,2
15,ProductA,Step_20,75.0,15.0,2.0,0.0,120.0,165.0,2
15,ProductA,Step_30,155.0,10.0,1.0,0.0,120.0,10.0,2
16,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,2
16,ProductA,Step_20,60.0,15.0,2.0,0.0,120.0,180.0,2
16,ProductA,Step_30,160.0,10.0,1.0,0.0,120.0,20.0,2
17,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
17,ProductA,Step_20,52.5,7.5,1.0,0.0,120.0,187.5,3
17,ProductA,Step_30,157.5,10.0,2.0,0.0,120.0,30.0,3
18,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
18,ProductA,Step_20,45.0,7.5,1.0,0.0,120.0,195.0,3
18,ProductA,Step_30,145.0,20.0,2.0,0.0,120.0,50.0,3
19,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
19,ProductA,Step_20,37.5,7.5,1.0,0.0,120.0,202.5,3
19,ProductA,Step_30,132.5,20.0,2.0,0.0,120.0,70.0,3
20,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
20,ProductA,Step_20,30.0,7.5,1.0,0.0,120.0,210.0,3
20,ProductA,Step_30,120.0,20.0,2.0,0.0,120.0,90.0,3
21,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
21,ProductA,Step_20,22.5,7.5,1.0,0.0,120.0,217.5,3
21,ProductA,Step_30,107.5,20.0,2.0,0.0,120.0,110.0,3
22,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
22,ProductA,Step_20,15.0,7.5,1.0,0.0,120.0,225.0,3
22,ProductA,Step_30,95.0,20.0,2.0,0.0,120.0,130.0,3
23,ProductA,Step_10,0.0,0.0,0.0,0.0,120.0,120.0,3
23,ProductA,Step_20,7.5,7.5,1.0,0.0,120.0,232.5,3
23,ProductA,Step_30,82.5,20.0,2.0,0.0,120.0,150.0,3

--- Inference Summary (RL) ---
Scenario,scn#4
Plan Achievement Rate (Last Step),125.00%
Overall Equipment Utilization,91.67%
Total Equipment Changeovers,3
